,USRight,USLeft,USRear,LidarRight,LidarLeft,SO,NO,P10,P25,O3,CO,timestamp,sensor,DateN,TimeN,sequenceTime
1734,12.7,17.78,88.9,448,1128,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215314,1734
1735,15.24,17.78,88.9,393,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215315,1735
1736,12.7,17.78,96.52,1,1,4095,4095,9.5,8.6,4095,4095,1.90717E+11,proximity,190717,215315,1736
1737,12.7,17.78,93.98,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215315,1737
1738,12.7,17.78,91.44,1,713,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215316,1738
1739,12.7,17.78,93.98,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215316,1739
1740,15.24,17.78,91.44,1,1,4095,4095,9.5,8.6,4095,4095,1.90717E+11,proximity,190717,215316,1740
1741,15.24,17.78,91.44,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215316,1741
1742,15.24,17.78,93.98,1,1716,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215317,1742
1743,15.24,17.78,93.98,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215317,1743
1744,12.7,17.78,91.44,1,1,4095,4095,9.6,8.7,4095,4095,1.90717E+11,proximity,190717,215317,1744
1745,15.24,17.78,88.9,1,828,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215318,1745
1746,12.7,17.78,88.9,2137,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215318,1746
1747,12.7,17.78,88.9,2123,897,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215318,1747
1748,12.7,17.78,88.9,2114,1,4095,4095,9.7,8.8,4095,4095,1.90717E+11,proximity,190717,215318,1748
1749,15.24,17.78,91.44,2120,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215319,1749
1750,15.24,17.78,88.9,2138,655,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215319,1750
1751,12.7,17.78,86.36,2084,806,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215319,1751
1752,12.7,17.78,99.06,2108,114,4095,4095,9.8,8.9,4095,4095,1.90717E+11,proximity,190717,215319,1752
1753,12.7,17.78,91.44,301,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215320,1753
1754,12.7,17.78,88.9,161,1294,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215320,1754
1755,15.24,17.78,91.44,1,852,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215320,1755
1756,12.7,17.78,91.44,1,1,4095,4095,10.1,9.1,4095,4095,1.90717E+11,proximity,190717,215321,1756
1757,15.24,17.78,93.98,1,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215321,1757
1758,12.7,17.78,86.36,238,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215321,1758
1759,12.7,17.78,101.6,310,1,NA,NA,NA,NA,NA,NA,1.90717E+11,proximity,190717,215322,1759
