oms_risk,uv_index,altitude,temperature,pressure,humidity,timestamp,sensor,DateN,TimeN,sequenceTime,Time
NA,NA,NA,NA,NA,73.30342102,1.90717E+11,humidity,190717,214835,189,2017-07-19 21:48:35
Low,0.3493976,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214836,190,2017-07-19 21:48:36
Low,0.357429713,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214838,191,2017-07-19 21:48:38
Low,0.305220872,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214840,192,2017-07-19 21:48:40
NA,NA,257.5625,34.8125,98272.25,NA,1.90717E+11,pressure_temperature,190717,214840,193,2017-07-19 21:48:40
NA,NA,NA,NA,NA,72.0040741,1.90717E+11,humidity,190717,214840,194,2017-07-19 21:48:40
Low,0.326639891,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214842,195,2017-07-19 21:48:42
Low,0.310575634,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214844,196,2017-07-19 21:48:44
NA,NA,257.5625,34.9375,98270,NA,1.90717E+11,pressure_temperature,190717,214845,197,2017-07-19 21:48:45
NA,NA,NA,NA,NA,72.06617737,1.90717E+11,humidity,190717,214845,198,2017-07-19 21:48:45
Low,0.317269087,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214846,199,2017-07-19 21:48:46
Low,0.313253015,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214848,200,2017-07-19 21:48:48
Low,0.314591706,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214850,201,2017-07-19 21:48:50
NA,NA,257.125,35.0625,98275.25,NA,1.90717E+11,pressure_temperature,190717,214850,202,2017-07-19 21:48:50
NA,NA,NA,NA,NA,72.14852142,1.90717E+11,humidity,190717,214850,203,2017-07-19 21:48:50
Low,0.311914325,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214852,204,2017-07-19 21:48:52
Low,0.313253015,NA,NA,NA,NA,1.90717E+11,ultraviolet,190717,214854,205,2017-07-19 21:48:54
NA,NA,257.25,35.1875,98271.5,NA,1.90717E+11,pressure_temperature,190717,214854,206,2017-07-19 21:48:54
