"","long","course","lat","speed","day","utc_time","DateN","TimeN","Time","sequenceTime"
"708","08423.1187","194.21","3346.0495","0.00","200717",1455,"1455","",NA,708
"709","08423.1187","194.21","3346.0495","0.00","200717",1456,"1456","",NA,709
"710","08423.1187","194.21","3346.0490","0.23","200717",1457,"1457","",NA,710
"711","08423.1194","194.21","3346.0478","0.31","200717",1458,"1458","",NA,711
"712","08423.1192","203.77","3346.0460","5.52","200717",1459,"1459","",NA,712
"713","08423.1198","202.75","3346.0443","7.00","200717",1500,"1500","",NA,713
"714","08423.1210","201.18","3346.0410","9.25","200717",1501,"1501","",NA,714
"715","08423.1216","199.50","3346.0384","10.31","200717",1502,"1502","",NA,715
"716","08423.1220","198.00","3346.0354","10.85","200717",1503,"1503","",NA,716
"717","08423.1221","196.68","3346.0324","11.66","200717",1504,"1504","",NA,717
"718","08423.1232","195.31","3346.0297","11.94","200717",1505,"1505","",NA,718
"719","08423.1244","194.15","3346.0273","11.67","200717",1506,"1506","",NA,719
"720","08423.1255","193.07","3346.0247","12.16","200717",1507,"1507","",NA,720
"721","08423.1263","192.02","3346.0214","13.02","200717",1508,"1508","",NA,721
"722","08423.1268","178.46","3346.0178","13.82","200717",1509,"1509","",NA,722
"723","08423.1287","205.80","3346.0136","18.19","200717",1510,"1510","",NA,723
"724","08423.1299","183.40","3346.0099","14.43","200717",1511,"1511","",NA,724
"725","08423.1302","181.35","3346.0061","12.96","200717",1512,"1512","",NA,725
"726","08423.1301","176.04","3346.0025","12.11","200717",1513,"1513","",NA,726
"727","08423.1299","178.97","3345.9988","14.09","200717",1514,"1514","",NA,727
"728","08423.1298","179.01","3345.9949","13.85","200717",1515,"1515","",NA,728
"729","08423.1299","180.90","3345.9909","15.13","200717",1516,"1516","",NA,729
"730","08423.1301","181.04","3345.9869","14.51","200717",1517,"1517","",NA,730
"731","08423.1302","182.35","3345.9831","13.68","200717",1518,"1518","",NA,731
"732","08423.1304","181.81","3345.9794","13.74","200717",1519,"1519","",NA,732
"733","08423.1302","180.55","3345.9754","13.82","200717",1520,"1520","",NA,733
"734","08423.1301","180.30","3345.9716","13.84","200717",1521,"1521","",NA,734
"735","08423.1301","179.32","3345.9676","14.11","200717",1522,"1522","",NA,735
"736","08423.1301","178.36","3345.9633","14.32","200717",1523,"1523","",NA,736
"737","08423.1300","178.27","3345.9591","14.60","200717",1524,"1524","",NA,737
