long,course,lat,speed,day,utc_time,Time
8424.0438,270.29,3346.9722,7.25,200717,14230,2017-07-20 14:23:00
8424.0465,271.86,3346.9722,7.47,200717,14231,2017-07-20 14:23:01
8424.0492,273.24,3346.9723,7.3,200717,14232,2017-07-20 14:23:02
8424.0518,275.67,3346.9725,7.27,200717,14233,2017-07-20 14:23:03
8424.0541,277.14,3346.9729,6.42,200717,14234,2017-07-20 14:23:04
8424.0566,276.66,3346.9728,6.47,200717,14235,2017-07-20 14:23:05
8424.0588,271.71,3346.9729,6.01,200717,14236,2017-07-20 14:23:06
8424.0608,272.46,3346.9729,6.49,200717,14237,2017-07-20 14:23:07
8424.0628,275.55,3346.9731,6.44,200717,14238,2017-07-20 14:23:08
8424.0647,274.49,3346.9732,6.27,200717,14239,2017-07-20 14:23:09
8424.0667,268.05,3346.973,6.01,200717,14240,2017-07-20 14:24:00
8424.0687,266.05,3346.9728,5.58,200717,14241,2017-07-20 14:24:01
8424.0707,266.79,3346.9727,5.57,200717,14242,2017-07-20 14:24:02
8424.0727,267.52,3346.9728,6.56,200717,14243,2017-07-20 14:24:03
8424.0748,268.71,3346.973,6.38,200717,14244,2017-07-20 14:24:04
8424.077,272.2,3346.9732,6.44,200717,14245,2017-07-20 14:24:05
8424.0792,273.48,3346.9732,6.4,200717,14246,2017-07-20 14:24:06
8424.0817,273.49,3346.9729,6.84,200717,14247,2017-07-20 14:24:07
8424.0842,274.52,3346.9728,7.24,200717,14248,2017-07-20 14:24:08
8424.0868,274.35,3346.9728,7.45,200717,14249,2017-07-20 14:24:09
8424.0895,273.83,3346.9727,7.83,200717,14250,2017-07-20 14:25:00
8424.0922,272.79,3346.9725,8.11,200717,14251,2017-07-20 14:25:01
8424.095,272.24,3346.9724,8.08,200717,14252,2017-07-20 14:25:02
8424.0979,269.87,3346.972,8.1,200717,14253,2017-07-20 14:25:03
8424.1009,269.51,3346.9721,8.9,200717,14254,2017-07-20 14:25:04
8424.104,269.3,3346.9718,8.5,200717,14255,2017-07-20 14:25:05
8424.1072,270.53,3346.9718,8.95,200717,14256,2017-07-20 14:25:06
8424.1103,271.1,3346.9718,9.01,200717,14257,2017-07-20 14:25:07
8424.1136,272.13,3346.9719,9.25,200717,14258,2017-07-20 14:25:08
8424.1166,271.34,3346.9719,9.3,200717,14259,2017-07-20 14:25:09
8424.1196,271.19,3346.9719,8.67,200717,14300,2017-07-20 14:30:00
8424.1224,271.16,3346.9719,8.42,200717,14301,2017-07-20 14:30:01
8424.1252,271.96,3346.972,8.66,200717,14302,2017-07-20 14:30:02
8424.128,272.97,3346.9723,8.71,200717,14303,2017-07-20 14:30:03
8424.1309,272.56,3346.9723,8.32,200717,14304,2017-07-20 14:30:04
8424.1338,272.83,3346.9725,8.5,200717,14305,2017-07-20 14:30:05
8424.1364,274.11,3346.9726,8.12,200717,14306,2017-07-20 14:30:06
8424.1391,275.13,3346.9729,7.93,200717,14307,2017-07-20 14:30:07
8424.1422,268.28,3346.9731,7.6,200717,14308,2017-07-20 14:30:08
8424.1449,264.3,3346.973,7.29,200717,14309,2017-07-20 14:30:09
8424.1474,267.14,3346.9728,6.72,200717,14310,2017-07-20 14:31:00
8424.1498,270.23,3346.9727,6.67,200717,14311,2017-07-20 14:31:01
8424.1523,270.74,3346.9729,6.68,200717,14312,2017-07-20 14:31:02
8424.1546,271.6,3346.9731,6.65,200717,14313,2017-07-20 14:31:03
8424.1568,285.9,3346.9736,6.23,200717,14314,2017-07-20 14:31:04
8424.1589,284.41,3346.974,5.95,200717,14315,2017-07-20 14:31:05
8424.1609,282.42,3346.9741,5.64,200717,14316,2017-07-20 14:31:06
8424.1632,279.93,3346.9739,6.57,200717,14317,2017-07-20 14:31:07
8424.1661,278.55,3346.9736,8.49,200717,14318,2017-07-20 14:31:08
8424.169,277.22,3346.9735,8.5,200717,14319,2017-07-20 14:31:09
8424.1719,275.44,3346.9733,8.49,200717,14320,2017-07-20 14:32:00
8424.1751,274.27,3346.9731,8.86,200717,14321,2017-07-20 14:32:01
8424.1782,273.45,3346.973,9.25,200717,14322,2017-07-20 14:32:02
8424.1814,271.7,3346.973,9.28,200717,14323,2017-07-20 14:32:03
8424.1845,269.3,3346.9729,9.56,200717,14324,2017-07-20 14:32:04
8424.1875,260.01,3346.9726,8.85,200717,14325,2017-07-20 14:32:05
8424.1903,261.75,3346.9727,8.29,200717,14326,2017-07-20 14:32:06
8424.1928,265.93,3346.9738,7.9,200717,14327,2017-07-20 14:32:07
8424.1944,272.3,3346.9754,6.91,200717,14328,2017-07-20 14:32:08
8424.1948,280.62,3346.9772,6.32,200717,14329,2017-07-20 14:32:09
8424.1947,2,3346.9792,6.27,200717,14330,2017-07-20 14:33:00
8424.1946,354.59,3346.981,6.22,200717,14331,2017-07-20 14:33:01
8424.1947,356.92,3346.9828,5.86,200717,14332,2017-07-20 14:33:02
8424.1949,354.7,3346.9847,7.15,200717,14333,2017-07-20 14:33:03
8424.1951,354.87,3346.9867,7.11,200717,14334,2017-07-20 14:33:04
